brokered_by,status, Listing Price ($) , Price per Sqft ,bed,bath,street,city,state,zip_code,House Size (sqft),prev_sold_date,Years Since Last Sale
71102,for_sale," $194,900.00 ", $198.47 ,1,2,529682,Miami,Florida,33015,982,1/18/18,7
51113,for_sale," $1,459,999.00 ", $256.46 ,8,6,578963,Miami,Florida,33015,5693,12/3/18,6
73048,for_sale," $567,900.00 ", $358.07 ,3,2,1723217,Miami,Florida,33015,1586,5/20/05,20
103320,for_sale," $369,000.00 ", $232.08 ,3,3,1554742,Miami,Florida,33015,1590,3/4/22,3
39607,for_sale," $225,000.00 ", $258.62 ,2,1,556889,Miami,Florida,33015,870,,
5101,for_sale," $798,721.00 ", $234.37 ,5,5,535601,Miami,Florida,33018,3408,12/9/05,19
57595,ready_to_build," $719,990.00 ", $207.61 ,5,,1959026,Miami,Florida,33030,3468,,
57595,ready_to_build," $664,990.00 ", $236.99 ,5,,1959026,Miami,Florida,33030,2806,,
57595,ready_to_build," $584,990.00 ", $280.44 ,3,,1959026,Miami,Florida,33030,2086,,
57595,for_sale," $674,990.00 ", $240.55 ,5,5,475027,Miami,Florida,33030,2806,,
57595,ready_to_build," $619,990.00 ", $258.01 ,4,,1959026,Miami,Florida,33030,2403,,
57595,ready_to_build," $649,990.00 ", $245.46 ,4,,1959026,Miami,Florida,33030,2648,,
57595,for_sale," $415,790.00 ", $294.05 ,3,3,190661,Miami,Florida,33032,1414,,
57595,for_sale," $432,490.00 ", $288.13 ,3,3,813793,Miami,Florida,33032,1501,,
57595,for_sale," $576,290.00 ", $192.93 ,5,3,193698,Miami,Florida,33032,2987,,
57595,for_sale," $399,990.00 ", $241.83 ,3,3,837419,Miami,Florida,33032,1654,,
57595,for_sale," $463,990.00 ", $253.82 ,3,3,785465,Miami,Florida,33032,1828,,
57595,for_sale," $549,890.00 ", $251.90 ,4,3,194879,Miami,Florida,33032,2183,,
57595,ready_to_build," $416,990.00 ", $222.04 ,4,,379003,Miami,Florida,33032,1878,,
57595,ready_to_build," $399,990.00 ", $264.72 ,3,,190131,Miami,Florida,33032,1511,,
57595,ready_to_build," $430,990.00 ", $226.24 ,4,,190131,Miami,Florida,33032,1905,,
57595,for_sale," $508,990.00 ", $293.87 ,3,3,190382,Miami,Florida,33032,1732,,
57595,ready_to_build," $388,990.00 ", $265.70 ,3,,379003,Miami,Florida,33032,1464,,
15545,for_sale," $495,000.00 ", $157.69 ,5,3,306005,Miami,Florida,33032,3139,11/29/21,3
57595,ready_to_build," $419,990.00 ", $247.49 ,3,,184491,Miami,Florida,33032,1697,,
57595,ready_to_build," $431,990.00 ", $236.32 ,4,,184491,Miami,Florida,33032,1828,,
57984,for_sale," $350,000.00 ", $226.54 ,3,3,172849,Miami,Florida,33032,1545,,
